Feature ID	kingdom	phylum	class	order	family	genus	species
00c36fc14084d8b12c6175a46fa4da79	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
3753beee0947f0450e3868ac432f61da	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
3e38f08e3874dfb6cc3036e6268c03d8	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	
90dce89998bc265bfd8b045fd32ababc	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
46aa0d6b45bff5391f9540059c52b1f2	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
9ee8df1e5dc2ad40643ea0aa5568ad74	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	
bb008479f8682e906e76656c0973a5ce	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	
b933a1c377fda481db6745d8cdca0069	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
1c718d6058f129f610967a8f23a6079a	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
549d1459123e17e0b096ae4fd596d873	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_Acidimicrobiia
80a538ccf2ad3e41b1ed2ec9526c6473	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
587dec53115304ef05c6372241ca4baf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
f2b70b92e8f44fbdc49ef0047520b23d	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_Acidimicrobiia
71a97c7c05a1ad6048e3d524c87e3acc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
4da4dd197e984a88dffbb3eed880c04f	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
fcaa3373e917cb7c9255c611a7286cac	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
72ebf858421d724a18dd5fe4f40418e1	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
bbbadafe1262c04b008558fee1463c87	Bacteria	Proteobacteria	Gammaproteobacteria	211ds20	211ds20	211ds20	uncultured_bacterium
1033f3fb0763e4cb6eda3421caa00b4a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	
cd2a1ff3300c8aa86c8b16a899af58fd	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085	S085	uncultured_soil
df8da5c65cf03347f5785dc1f67973e0	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	
bcd6d667c2bc8a804b755754a06d9566	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	
2fb8427bee1b6d4163896fcf0e6c2a23	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	
9a53990f76a90f89dd9b32ef3f80c940	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
a022f6e29f05c32d8bec677c09b0eaf3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
06d58f2089d393e54088c4289fd5d7c6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
9e7eb797429b071670e938ff208519bd	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	
0ee3bb6d6b23f29b7cda88415da1aa98	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae		
